物件番号,物件名,店舗名,物件種目,物件種別,ステータスと物件種別,レインズと物件種別,ステータス（公開、済み等）,都道府県,市区,町域,以降番地,小学校,中学校,路線,駅,バス停名１,バス乗車時間１,徒歩（分）,路線２,駅２,バス停名２,バス乗車時間２,徒歩（分）２,路線３,駅３,バス停名３,バス乗車時間３,徒歩（分）３,その他交通,その他交通徒歩（分）,現況,明渡,自社/他社,取引態様種別,備考,価格（万円）,最終取引価格（万円）,坪単価,建物構造,建物号室,土地面積（㎡）,土地坪,地目,建物面積（㎡）,建坪,間取,土地権利,借地料(円）,借地期間,完成,完成予定、完成済み,新築/中古,道路１,道路２,道路３,私道,私道面積（㎡）,専有面積（㎡）,バルコニー面積（㎡）,階数,所在階,管理費（円）,修繕費（円）,駐車場,駐車場（円/月）,管理形態,施工会社,管理会社,用途地域,その他規制,都市計画,建蔽率,容積率,設備,特記事項,業者名,業者電話番号,業者FAX,業者担当,物件登録日時,更新日時,広告掲載,ホームページ掲載,アットホーム掲載,HOMES掲載,SUUMO掲載,制限事項（SUUMO専用）,メモ（非公開情報）,参考資料,リゾート物件,収益物件,物件URL,ログイン時非掲載,取込緯度,取込経度
49271594,北区硯川町　分譲地8号地,,土地,売地,売地,売地,公開,熊本県,熊本市北区,硯川町,　8号地,西里小学校・川上小学校,北部中学校,,,,,,,,,,,,,,,,鹿子木バス停,6,更地,相談,他社,売主,確定面積ではありません形状・面積に誤差が生じる場合があります（有）クリエイトが仲介に入ります電柱設置計画がありますブロックフェンス設置の取り決めがあります地目は宅地・公衆用道路等へ変更します,"1,102",,,,,202.37,,畑,,,,所有権,,,,,,西側:公道:幅員5m,,,,,,,,,,,,,,,,,集落内開発指定区域,市街化調整区域,40,80,上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/4/8 15:55,,,,,,,,,,,,,32.8642912,130.691771
49271592,北区硯川町　分譲地9号地,,土地,売地,売地,売地,公開,熊本県,熊本市北区,硯川町,　9号地,西里小学校・川上小学校,北部中学校,,,,,,,,,,,,,,,,鹿子木バス停,6,更地,相談,他社,売主,確定面積ではありません形状・面積に誤差が生じる場合があります（有）クリエイトが仲介に入ります電柱設置計画がありますブロックフェンス設置の取り決めがあります地目は宅地・公衆用道路等へ変更します,"1,166",,,,,214.21,,畑,,,,所有権,,,,,,西側:公道:幅員5m,,,,,,,,,,,,,,,,,集落内開発指定区域,市街化調整区域,40,80,上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/4/8 15:52,,,,,,,,,,,,,32.8642912,130.691771
49271591,北区硯川町　分譲地12号地,,土地,売地,売地,売地,公開,熊本県,熊本市北区,硯川町,　12号地,西里小学校・川上小学校,北部中学校,,,,,,,,,,,,,,,,鹿子木バス停,6,更地,相談,他社,売主,確定面積ではありません形状・面積に誤差が生じる場合があります（有）クリエイトが仲介に入ります電柱設置計画がありますブロックフェンス設置の取り決めがあります地目は宅地・公衆用道路等へ変更します,"1,148",,,,,210.86,,畑,,,,所有権,,,,,,東側:公道:幅員5m， 北側:公道:幅員5m,,,,,,,,,,,,,,,,,集落内開発指定区域,市街化調整区域,40,80,上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/4/8 15:48,,,,,,,,,,,,,32.8642912,130.691771
49271585,北区硯川町　分譲地13号地,,土地,売地,売地,売地,公開,熊本県,熊本市北区,硯川町,　13号地,西里小学校・川上小学校,北部中学校,,,,,,,,,,,,,,,,鹿子木バス停,6,更地,相談,他社,売主,確定面積ではありません形状・面積に誤差が生じる場合があります（有）クリエイトが仲介に入ります電柱設置計画がありますブロックフェンス設置の取り決めがあります地目は宅地・公衆用道路等へ変更します,"1,148",,,,,210.86,,畑,,,,所有権,,,,,,東側:公道:幅員5m,,,,,,,,,,,,,,,,,集落内開発指定区域,市街化調整区域,40,80,上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/4/8 15:46,,,,,,,,,,,,,32.8642912,130.691771
49271573,北区楠,,土地,売地,売地,売地,公開,熊本県,熊本市北区,楡木,1丁目18-3,楡木小学校,,,,,,,,,,,,,,,,,楠団地中央口バス停,3,更地,即,他社,媒介,,"1,990",,,,,286.16,,宅地,,,,所有権,,,,,,西側:公道:幅員8m:間口14.5m,,,,,,,,,,,,,,,,1種低層,,市街化区域,40,80,都市ガス:上水道:下水道:側溝,セットバック済,有限会社プライスウォーターハウス,096-337-3906,096-337-9306,,,2019/4/8 15:08,,,,,,,,,,,,,32.843356,130.7503839
49228229,中央区国府本町,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,国府本町,10番11号,白山小学校,出水中学校,,,,,,,,,,,,,,,,白山神社前バス停,1,上物有,即,他社,専属専任,家屋２棟に関し、増築,"4,200",,,,,421.98,,宅地,,,,所有権,,,,,,北側:公道:幅員7m:間口15m， 東側:公道:幅員4m:間口23m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,都市ガス:上水道:下水道:電気,,株式会社ハイコム,096-383-2112,096-383-2113,,,2019/6/11 14:39,,,,,,,,,,,,,32.786917,130.7243588
49228182,東区水源,,土地,売地,売地,売地,公開,熊本県,熊本市東区,水源,2丁目26-7,泉ケ丘小学校,東野中学校,,,,,,,,,,,,,,,,広木バス停,2,更地,相談,他社,媒介,,750,,,,,87.34,,宅地,,,,所有権,,,,,,東側::幅員12m:間口7m,,,,,,,,,,,,,,,,1種低層,,市街化区域,40,80,プロパンガス（個別）:上水道:下水道:電気,,株式会社アサヒエステート,096-360-0039,096-360-0322,,,2019/5/23 14:27,,,,,,,,,,,,,32.7739381,130.758864
49228168,上益城郡御船滝川　分譲地1号地,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,滝川,634-3～634-6　1号地,御船小学校,御船中学校,,,,,,,,,,,,,,,,今城バス停,3,更地,相談,他社,売主,,768,,,,,226.6,,宅地,,,,所有権,,,,,,北西側::幅員3.1m:間口11.6m,,,,,,,,,,,,,,,,無指定,,非線引区域,70,200,プロパンガス（個別）:上水道:下水道:電気,,株式会社アサヒエステート,096-360-0039,096-360-0322,,,2019/4/6 12:01,,,,,,,,,,,,,32.7190853,130.7865766
49228135,上益城郡御船滝川　分譲地2号地,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,滝川,634-3～634-6　2号地,御船小学校,御船中学校,,,,,,,,,,,,,,,,今城バス停,3,更地,相談,他社,売主,,778,,,,,225.17,,宅地,,,,所有権,,,,,,南西側::幅員3.1m:間口11.3m， 北西側::幅員3.1m:間口16m,,,,,,,,,,,,,,,,無指定,,非線引区域,70,200,プロパンガス（個別）:上水道:下水道:電気,,株式会社アサヒエステート,096-360-0039,096-360-0322,,,2019/5/23 14:27,,,,,,,,,,,,,32.7190853,130.7865766
49228121,上益城郡御船滝川　分譲地3号地,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,滝川,634-3～634-6　3号地,御船小学校,御船中学校,,,,,,,,,,,,,,,,今城バス停,3,更地,相談,他社,売主,,738,,,,,281.45,,宅地,,,,所有権,,,,,,南西側::幅員3.1m:間口5.5m,,,,,,,,,,,,,,,,無指定,,非線引区域,70,200,プロパンガス（個別）:上水道:下水道:電気,,株式会社アサヒエステート,096-360-0039,096-360-0322,,,2019/4/6 10:15,,,,,,,,,,,,,32.7190853,130.7865766
49209354,中央区京町,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,京町,2丁目2-38,壺川小学校,京陵中学校,,,,,,,,,,,,,,,,裁判所前バス停,3,上物有,相談,他社,一般,,"3,180",,,,,195.93,,宅地,,,,所有権,,,,,,東側:公道:幅員8m:間口8m,,,,,,,,,,,,,,,,2種住居,景観法、航空法,市街化区域,60,200,,,株式会社コウナン・レクセル,096-359-2426,096-354-2553,,,2019/4/5 16:16,,,,,,,,,,,,,32.8133501,130.704667
49209352,中央区京町,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,京町,1丁目5-16,壺川小学校,京陵中学校,,,,,,,,,,,,,,,,裁判所前バス停,1,更地,即,他社,一般,,"3,600",,,,,170.54,,宅地,,,,所有権,,,,,,東側:公道:幅員10m:間口10m， 北側:公道:幅員1.8m:間口18m,,,,,,,,,,,,,,,,近隣商業,準防火地域、景観法、航空法,市街化区域,80,300,都市ガス:上水道:下水道,,株式会社コウナン・レクセル,096-359-2426,096-354-2553,,,2019/4/5 16:02,,,,,,,,,,,,,32.8115946,130.7053008
49209157,中央区三郎,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,三郎,1丁目7-26,,,,,,,,,,,,,,,,,,帯山バス停,4,更地,相談,他社,媒介,,800,,,,,142.75,,宅地,,,,所有権,,,,,,北側:私道:幅員2.5m:間口8.4m,,,,92,,,,,,,,,,,,1種中高,,市街化区域,60,150,上水道:下水道:電気,セットバック要,株式会社フジ開発,096-345-1800,096-344-4605,,,2019/6/18 13:37,,,,,,,,,,,,,32.7994573,130.756767
49209154,北区清水東町,,土地,売地,売地,売地,公開,熊本県,熊本市北区,清水東町,5-14、5-15,清水小学校,竜南中学校,,,,,,,,,,,,,,,,北津留バス停,6,上物有,相談,他社,媒介,前面道路と高低差有り,"1,421",,,,,666.19,,宅地,,,,所有権,,,,,,北側:公道:幅員6m:間口28m,,,,,,,,,,,,,,,,1種中高,宅地造成規制区域,市街化区域,60,150,,,ベスト・グリーン株式会社,096-364-5010,096-364-5029,,,2019/5/31 14:19,,,,,,,,,,,,,32.8372483,130.7272131
49191223,北区植木町大和,,土地,売地,売地,売地,公開,熊本県,熊本市北区,植木町大和,43574,,,,,,,,,,,,,,,,,,ショッピングセンター前バス停,4,上物有,相談,他社,専属専任,,749,,,,,224.79,,宅地,,,,所有権,,,,,,北側:公道:幅員5m:間口15m,,,無,,,,,,,,,,,,,1種低層,航空法、景観法、埋蔵文化財包蔵地,市街化区域,50,100,都市ガス:上水道:下水道:電気:側溝,,株式会社みた商事,096-368-3396,096-369-4774 ,,,2019/4/4 16:02,,,,,,,,,,,,,32.8842935,130.671064
49191222,北区高平,,土地,売地,売地,売地,公開,熊本県,熊本市北区,高平,3丁目9,高平台小学校,京陵中学校,,,,,,,,,,,,,,,,高平バス停,5,更地,即,他社,専任,,"1,580",,,,,392.8,,山林,,,,所有権,,,,,,北側:公道:幅員3.6m:間口8m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,,セットバック要,株式会社コウナン・レクセル,096-359-2426,096-354-2553,,,2019/4/4 15:47,,,,,,,,,,,,,32.8373795,130.7161738
49191220,東区江津,,土地,売地,売地,売地,公開,熊本県,熊本市東区,江津,1丁目14-30,画図小学校,出水南中学校,,,,,,,,,,,,,,,,江津県営アパート前バス停,1,上物有,相談,他社,媒介,敷地の北側、東側に水路有り東側水路には暗渠有り（間口1.7m奥行3.2m）,"1,823",,,,,200.9,,宅地,,,,所有権,,,,,,南側:公道:幅員8m， 東側:公道:幅員6m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,,,有限会社アジアコンサルティング,096-384-4402,096-384-4403,,,2019/4/4 15:36,,,,,,,,,,,,,32.7774671,130.7359144
49191210,南区城南町永,,土地,売地,売地,売地,公開,熊本県,熊本市南区,城南町永,438番地10,杉上小学校,下益城城南中学校,,,,,,,,,,,,,,,,千原入口バス停,11,更地,相談,他社,媒介,,280,,,,,168.16,,宅地,,,,所有権,,,,,,西側:公道:幅員4m:間口10.3m， 北側:公道:幅員4m:間口11.5m,,,無,,,,,,,,,,,,,,建物高さ10m以下、外壁後退有り,市街化調整区域,40,80,プロパンガス（個別）:井戸:電気:浄化槽（個別）:側溝,,積和不動産九州株式会社/熊本仲介店,096-378-5930,096-378-5922,,,2019/4/4 15:15,,,,,,,,,,,,,32.7284806,130.7300491
49191097,西区池上町,,土地,売地,売地,売地,公開,熊本県,熊本市西区,池上町,,池上小学校,三和中学校,,,,,,,,,,,,,,,,池の上バス停,9,更地,相談,他社,媒介,確定面積ではありません。面積に若干の誤差が生じる場合があります。上下水道引込渡し,"1,238",,,,,272.73,,宅地,,,,所有権,,,,,,南側:公道,,,無,,,,,,,,,,,,,1種低層,法22条区域,市街化区域,40,80,上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/5/23 13:17,,,,,,,,,,,,,32.794905,130.6676749
49136347,北区清水岩倉,,土地,売地,売地,売地,公開,熊本県,熊本市北区,清水岩倉,1丁目22-10,清水小学校,清水中学校,,,,,,,,,,,,,,,,清水ヶ丘バス停,9,上物有,相談,他社,専任,,850,,,,,285.56,,宅地,,,,所有権,,,,,,北側:公道:幅員4m:間口20.4m， 東側:公道:幅員6m:間口13.4m,,,,,,,,,,,,,,,,1種低層,,市街化区域,40,80,プロパンガス（個別）:上水道:下水道:電気:側溝,,株式会社リバティライフ,096-273-6050,096-273-6051,,,2019/5/27 14:24,,,,,,,,,,,,,32.8412068,130.7397152
49136330,西区島崎　分譲地,,土地,売地,売地,売地,公開,熊本県,熊本市西区,島崎,5丁目15,城西小学校,,,,,,,,,,,,,,,,,三軒屋バス停,4,更地,相談,他社,売主,新しい耐震基準にて工事、検査後の引渡しになります。,780,,,,,214,,畑,,,,所有権,,,,,,,,,,,,,,,,,,,,,,1種低層,,市街化区域,40,60,上水道:下水道,,株式会社つじ商店,096-353-2444,096-353-2480,,,2019/4/2 14:30,,,,,,,,,,,,,32.8104359,130.6769135
49136305,東区西原,,土地,売地,売地,売地,公開,熊本県,熊本市東区,西原,2丁目21-3,西原小学校,西原中学校,,,,,,,,,,,,,,,,鉄工団地入口バス停,3,上物有,相談,他社,専任,,"2,400",,,,,313.81,,宅地,,,,所有権,,,,,,北西側:公道:幅員8m:間口15.98m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,150,,,有限会社水戸不動産,096-382-4558,096-385-4221,,,2019/4/2 13:25,,,,,,,,,,,,,32.8168678,130.7543618
49136231,東区新生,,土地,売地,売地,売地,公開,熊本県,熊本市東区,新生,2丁目,泉ケ丘小学校,東野中学校,,,,,,,,,,,,,,,,健軍町電停,4,上物有,相談,他社,専属専任,上下水道管前面道路有り受益者負担金済解体更地渡し相談可,"1,240",,,,,132.26,,宅地,,,,所有権,,,,,,東側:公道:幅員6m,,,,,,,,,,,,,,,,2種住居,,市街化区域,60,200,,セットバック要,有限会社ウチダ,096-368-7030,096-367-1423,,,2019/5/16 16:35,,,,,,,,,,,,,,
49136055,南区野田,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市南区,野田,2丁目20-11,川尻小学校,城南中学校,,,,,,,,,,,,,,,,大慈禅寺バス停,5,空,即,他社,専任,,"1,200",,,木造,,288.52,,宅地,64.16,,4DK,所有権,,,Jun-65,完成済み,中古,東側:公道:幅員5.7m:間口12.5m， 南側:公道:幅員4m:間口20m,,,,,,,1,,,,,,,,,1種住居,,市街化区域,60,200,プロパンガス（個別）,日当たり良好:閑静な住宅街,株式会社コウナン・レクセル,096-359-2426,096-354-2553,,,2019/4/2 12:31,,,,,,,,,,,,,32.733052,130.6842222
49100877,玉名市岱明町野口分譲地区画1,,土地,売地,売地,売地,公開,熊本県,玉名市,岱明町野口,,大野小学校,岱明中学校,,,,,,,,,,,,,,,,,,更地,,他社,専属専任,,880,,,,,264.44,,宅地,,,,,,,,,,北側:公道:幅員5m:間口19.9m,,,,,,,,,,,,,,,,1種住居,,市街化区域,60,200,上水道:下水道:側溝,,Y.コーポレーション株式会社,0944-55-5050,0944-57-6800,福山　秀一,,2019/4/1 14:48,,,,,,,,,,,,,32.93044044,130.5368313
49058286,東区小山,,土地,売地,売地,売地,公開,熊本県,熊本市東区,小山,6丁目11-1,託麻東小学校,二岡中学校,,,,,,,,,,,,,,,,西上の前バス停,1,更地,相談,他社,専任,,"1,997",,,,,330.1,,宅地,,,,所有権,,,,,,北側:公道:幅員6m:間口15m， 西側:公道:幅員6m:間口13m,,,,,,,,,,,,,,,,2種中高,航空法、景観法、埋蔵文化財包蔵地,市街化区域,60,150,都市ガス:上水道:下水道:電気,閑静な住宅街,株式会社永伸,096-285-3399,096-276-7570,,,2019/6/17 14:55,,,,,,,,,,,,,32.8322611,130.7979234
49037031,南区城南町島田,,土地,売地,売地,売地,公開,熊本県,熊本市南区,城南町島田,,,,,,,,,,,,,,,,,,,明熊バス停,19,更地,即,他社,専任,上下水道引込工事要東側私道の道路持分取得可能（別途費用必要）北側市道はセットバック必要,800,,,,,637.29,,宅地,,,,所有権,,,,,,北側:公道:幅員3.2m， 東側:私道:幅員4m,,,,,,,,,,,,,,,,無指定,指定集落内開発区域,調整区域,40,80,上水道:下水道,セットバック要,ミサワホーム九州株式会社熊本支店,096-370-0330,096-370-0017,,,2019/6/4 12:56,,,,,,,,,,,,,32.7171403,130.7069844
49036989,西区池田,,土地,売地,売地,売地,公開,熊本県,熊本市西区,池田,2丁目25-16,池田小学校,京陵中学校,,,,,,,,,,,,,,,,富尾団地バス停,7,更地,相談,他社,専任,,"1,100",,,,,233,,宅地,,,,所有権,,,,,,東側:公道:幅員5.3m:間口9.7m,,,無,,,,,,,,,,,,,1種低層,,市街化区域,40,80,上水道:下水道,,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/6/11 13:02,,,,,,,,,,,,,32.8286057,130.7021316
49036887,北区八景水谷,,土地,売地,売地,売地,公開,熊本県,熊本市北区,八景水谷,2丁目6-56,城北小学校,清水中学校,,,,,,,,,,,,,,,,堀川バス停,7,上物有,相談,他社,一般,,900,,,,,168.59,,宅地,,,,所有権,,,,,,南側:私道:幅員2.38m:間口12.9m,,,無,,,,,,,,,,,,,1種中高,,市街化区域,60,150,上水道:下水道,セットバック要,株式会社コスギ不動産/売買事業部,096-375-5588,096-372-5400,,,2019/5/27 14:07,,,,,,,,,,,,,32.8452425,130.7247481
49036879,北区徳王,,土地,売地,売地,売地,公開,熊本県,熊本市北区,徳王,1丁目3-30,西里小学校,京陵中学校,,,,,,,,,,,,,,,,清水団地入口バス停,5,その他,相談,他社,媒介,通学緩衝地区　北部中学校も通学可崖条例適用部分は面積から外しています※面積仮測量敷地内に樹木・井戸有り分筆渡し,"2,000",,,,,662,,宅地,,,,所有権,,,,,,東側:公道:幅員4m:間口20.8m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,上水道:下水道,セットバック要,有限会社熊コーポレーション,096-384-6123,096-384-6131,,,2019/4/23 17:24,,,,,,,,,,,,,32.8389782,130.7067764
48981559,西区春日,,土地,売地,売地,売地,公開,熊本県,熊本市西区,春日,8丁目3-57,春日小学校,花陵中学校,,,,,,,,,,,,,,,,春日6丁目バス停,12,更地,即,他社,専任,,"1,300",,,,,183.26,,宅地,,,,所有権,,,,,,西側:私道,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,都市ガス:上水道:下水道:電気,セットバック要,株式会社トータルインフォメーション,096-383-8110,096-384-0782,,,2019/3/26 16:29,,,,,,,,,,,,,32.7889492,130.6794666
48981558,御船町高木　分譲地B号地,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,高木,　B号地,,,,,,,,,,,,,,,,,,六嘉バス停,9,更地,即,他社,媒介,上水道本管引込要　浄化槽補助金対象区域,390,,,,,171.93,,宅地,,,,所有権,,,,,,北西側:公道:幅員4m:間口13.11m,,,無,,,,,,,,,,,,,無指定,,市街化区域,70,200,プロパンガス（個別）:上水道:電気:浄化槽（個別）,,コガ開発,096-329-6887,096-228-9500,,,2019/3/26 17:08,,,,,,,,,,,,,32.7358396,130.7943836
48981329,西区松尾,,土地,売地,売地,売地,公開,熊本県,熊本市西区,松尾,2丁目2,,,,,,,,,,,,,,,,,,二の口バス停,2,更地,即,他社,媒介,,"1,350",,,,,431.82,,宅地,,,,所有権,,,,,,北側:， 北東側:,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,,,メイクリブ株式会社,096-379-7997,096-379-7998,,,2019/3/26 12:47,,,,,,,,,,,,,32.7870142,130.6442033
48981296,北区植木町米塚,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市北区,植木町米塚,856番地12,田底小学校,植木北中学校,,,,,,,,,,,,,,,,植木温泉入口バス停,6,空,即,他社,専任,温泉使用料：2000円/月,"1,280",,,木造,,303.9,,宅地,141.2,,4SLDK,所有権,,,Oct-88,完成済み,中古,南側:公道:幅員5m:間口13m,,,無,,,,1,,,,,,,,,無指定,集落内開発制度指定区域内,市街化調整区域,40,80,プロパンガス（個別）:上水道:電気:浄化槽（個別）:カウンターキッチン:トイレ2ヶ所,,株式会社ハウスレッシュ,096-375-5099,096-364-0933,,,2019/3/26 11:56,,,,,,,,,,,,,32.9543917,130.7156788
48981290,南区孫代町,,土地,売地,売地,売地,公開,熊本県,熊本市南区,孫代町,字居屋敷899番,飽田東小学校,飽田中学校,,,,,,,,,,,,,,,,孫代バス停,1,上物有,相談,他社,専任,解体更地渡し確定測量完了公簿面積での売買となります上水道は宅内へ引込済ですが私設管です,928,,,,,224.79,,宅地,,,,所有権,,,,,,東側:公道:幅員4m:間口13.4m， 南側:公道:幅員6.7m:間口19.8m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,上水道,,株式会社サンタ不動産,096-334-0007,096-334-0777,,,2019/5/23 18:10,,,,,,,,,,,,,32.7611423,130.6486446
48981247,東区小山,,土地,売地,売地,売地,公開,熊本県,熊本市東区,小山,6丁目5-25,託麻東小学校,二岡中学校,,,,,,,,,,,,,,,,小山上バス停,2,上物有,相談,他社,一般,,850,,,,,139.3,,宅地,,,,所有権,,,,,,南側:公道:幅員3.64m,,,無,,,,,,,,,,,,,2種中高,景観法、航空法,市街化区域,60,150,プロパンガス（個別）:上水道:下水道:電気,セットバック要,株式会社コスギ不動産,096-368-0001,096-368-0002,,,2019/6/10 15:20,,,,,,,,,,,,,32.832475,130.7960603
48959345,西区春日,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市西区,春日,4丁目37-38,春日小学校,花陵中学校,,,,,,,,,,,,,,,,春日寺前バス停,11,居住中,相談,他社,専任,,"1,500",,,,,419.81,,宅地,243.83,,8LDK,所有権,,,Aug-81,完成済み,中古,北側:公道:幅員5.5m:間口16m,,,,,,,3,,,,,,,,,1種住居,風致地区,市街化区域,60,200,,,株式会社ホームステージ,096-385-8080,096-385-8081,,,2019/3/25 16:41,,,,,,,,,,,,,32.7949197,130.6838845
48959167,玉名郡和水町原口,,土地,売地,売地,売地,公開,熊本県,玉名郡和水町,原口,113-3,菊水中央小,菊水中,,,,,,,,,,,,,,,,,,,,他社,媒介,,439,,,,,381.85,,畑,,,,所有権,,,,,,北側::幅員5m:間口11m,,,,,,,,,,,,,,,,,,都市計画区域外,,,,,株式会社やましょう不動産,0968-73-3318,0968-73-3319,,,2019/3/25 11:01,,,,,,,,,,,,,,
48959044,大牟田市歴木,,土地,売地,売地,売地,公開,福岡県,大牟田市,歴木,1779-1,平原小,歴木中,,,,,,,,,,,,,,,,,,更地,,他社,売主,,180,,,,,161.06,,,,,,所有権,,,,,,,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,,,Y・コーポレーション株式会社,0944-55-5050,0944-57-6800,,,2019/3/25 10:38,,,,,,,,,,,,,,
48935967,大牟田市船津町,,土地,売地,売地,売地,公開,福岡県,大牟田市,船津町,2丁目2-27,みなと小,宅峰中,,,,,,,,,,,,,,,,,,更地,,他社,媒介,,334,,,,,138,,宅地,,,,所有権,,,,,,北側:公道:幅員6m:間口10m,,,,,,,,,,,,,,,,1種住居,法第22条地域,市街化区域,60,200,,,アパマンショップ不動産販売大牟田店/スマイルホーム株式会社,0944-55-0332,0944-55-0320,,,2019/3/25 10:38,,,,,,,,,,,,,,
48896593,中央区新大江,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,新大江,2丁目12-12,託麻原小学校,帯山中学校（白川中学校）,,,,,,,,,,,,,,,,新大江2丁目バス停,3,更地,相談,他社,媒介,都市ガス：近く人本管有り,"3,270",,,,,196.45,,宅地,,,,所有権,,,,,,南側:公道:幅員4.5m,,,無,,,,,,,,,,,,,2種中高,文化財保護法、準防火地域,市街化区域,60,200,都市ガス:上水道:下水道,,株式会社ルミナスホーム,096-385-0837,096-387-3117,,,2019/5/23 13:17,,,,,,,,,,,,,32.8016887,130.7329646
48896575,北区梶尾町,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市北区,梶尾町,1757-24,,,,,,,,,,,,,,,,,,鶴の原温泉バス停,5,空,相談,他社,専任,,"1,698",,,木造,,207.46,,宅地,141,,4LDK,所有権,,,Jun-00,完成済み,中古,北側:公道:幅員4m:間口12m， 南側:公道:幅員5m:間口11.7m， 東側:公道:幅員5m:間口10.8m,,,,,,,2,,,,,,,,,1種低層,,市街化区域,40,80,都市ガス:上水道:下水道:電気:システムキッチン:シャンプードレッサー:浴室乾燥機:ウォシュレット:床下収納:エアコン:収納スペース:追焚機能:トイレ2ヶ所,駐車場3台分:閑静な住宅街:バス1坪以上,ワイフ不動産,0968-25-7710,0968-25-7711,,,2019/3/22 16:02,,,,,,,,,,,,,32.8697613,130.7316382
48896567,東区鹿帰瀬町　分譲地5号地（プレザントタウン鹿帰瀬）,,土地,売地,売地,売地,公開,熊本県,熊本市東区,鹿帰瀬町,515-1、515-5　5号地,託麻北小学校,東部中学校,,,,,,,,,,,,,,,,鹿帰瀬バス停,5,その他,期日指定,他社,専属専任,"上水道：宅内13㎜引込予定（水道加入金：68,300円）下水道放流負担金：土地面積×200円","1,000",,,,,204.75,,宅地,,,,所有権,,,,,,北側:公道:幅員10.58m， 東側::幅員5m,,,無,,,,,,,,,,,,,無指定,外壁後退距離1m以上、高さ制限10m以下,市街化調整区域,40,80,プロパンガス（個別）:上水道:下水道:電気,,有限会社熊コーポレーション,096-384-6123,096-384-6131,,,2019/5/30 11:01,,,,,,,,,,,,,32.8442507,130.796381
48895561,荒尾市荒尾,,土地,売地,売地,売地,公開,熊本県,荒尾市,荒尾,2800,中央小学校,第三中学校,,,,,,,,,,,,,,,,水道局北バス停,2,更地,即,他社,専任,南面道路は里道です,550,,,,,521,,宅地,,,,所有権,,,,,,西側:公道:幅員5m:間口2m， 南側:公道:幅員2m:間口14m,,,,35,,,,,,,,,,,,1種低層,,非線引区域,40,80,下水道,,有限会社光和不動産開発,096-276-0308,096-288-5082,,,2019/6/4 12:59,,,,,,,,,,,,,32.9803287,130.4338056
48878094,御船町高木,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,高木,541504,高木小学校,御船中学校,,,,,,,,,,,,,,,,下高野バス停,6,更地,即,他社,媒介,,350,,,,,218,,畑,,,,所有権,,,,,,西側:私道:幅員4m:間口4m,,,無,,,,,,,,,,,,,無指定,農地法,非線引区域,70,200,プロパンガス（個別）:上水道:浄化槽（個別）,,株式会社コスギ不動産,096-368-0001,096-368-0002,,,2019/6/10 15:21,,,,,,,,,,,,,32.7369791,130.7934936
48878064,御船町滝尾,,土地,売地,売地,売地,公開,熊本県,上益城郡御船町,滝尾,字駒帰6523番32,滝尾小学校,御船中学校,,,,,,,,,,,,,,,,玉虫団地バス停,4,更地,即,他社,専属専任,,450,,,,,226.62,,宅地,,,,所有権,,,,,,南側:私道:幅員5m:間口16.2m,,,,,,,,,,,,,,,,無指定,"6176番1,6523番4 公衆用道路 持分1200分の1",非線引区域,70,200,プロパンガス（個別）:上水道:浄化槽（個別）,日当たり良好,のあ不動産企画株式会社,096-367-9095,096-234-6110,,,2019/4/23 16:23,,,,,,,,,,,,,32.704445,130.8282082
